DateOfCall,IncidentCount,DATE,TX,Q_TX,TN,Q_TN,TG,Q_TG,SS,Q_SS,SD,Q_SD,RR,Q_RR,QQ,Q_QQ,PP,Q_PP,HU,Q_HU,CC,Q_CC,IsWeekend,weekday,IsBankHoliday
2023-01-01,402,2023-01-01,93.0,1,100.0,1,112.0,1,0.0,0,0.0,0,46.0,0,21.0,0,10080.0,0,81.0,0,7.0,0,1,Sunday,0
2023-01-02,293,2023-01-02,134.0,0,52.0,0,72.0,0,52.0,0,0.0,0,4.0,0,44.0,0,10169.0,0,86.0,0,3.0,0,0,Monday,1
2023-01-03,267,2023-01-03,139.0,0,21.0,0,78.0,0,0.0,0,0.0,0,30.0,0,9.0,0,10186.0,0,93.0,0,7.0,0,0,Tuesday,0
2023-01-04,285,2023-01-04,135.0,0,92.0,0,116.0,0,4.0,0,0.0,0,2.0,0,17.0,0,10146.0,0,82.0,0,6.0,0,0,Wednesday,0
2023-01-05,305,2023-01-05,127.0,0,89.0,0,112.0,0,4.0,0,0.0,0,24.0,0,28.0,0,10186.0,0,82.0,0,8.0,0,0,Thursday,0
2023-01-06,302,2023-01-06,114.0,0,63.0,0,95.0,0,22.0,0,0.0,0,6.0,0,34.0,0,10138.0,0,87.0,0,4.0,0,0,Friday,0
2023-01-07,313,2023-01-07,95.0,0,67.0,0,91.0,0,0.0,0,0.0,0,32.0,0,8.0,0,10006.0,0,84.0,0,7.0,0,1,Saturday,0
2023-01-08,283,2023-01-08,96.0,0,65.0,0,80.0,0,2.0,0,0.0,0,72.0,0,14.0,0,9928.0,0,87.0,0,6.0,0,1,Sunday,0
2023-01-09,293,2023-01-09,130.0,0,44.0,0,70.0,0,24.0,0,0.0,0,20.0,0,38.0,0,10014.0,0,80.0,0,4.0,0,0,Monday,0
2023-01-10,331,2023-01-10,122.0,0,39.0,0,84.0,0,0.0,0,0.0,0,36.0,0,10.0,0,10083.0,0,89.0,0,7.0,0,0,Tuesday,0
2023-01-11,289,2023-01-11,127.0,0,68.0,0,95.0,0,31.0,0,0.0,0,40.0,0,27.0,0,10085.0,0,81.0,0,5.0,0,0,Wednesday,0
2023-01-12,297,2023-01-12,115.0,0,72.0,0,99.0,0,1.0,0,0.0,0,38.0,0,14.0,0,10031.0,0,83.0,0,7.0,0,0,Thursday,0
2023-01-13,278,2023-01-13,126.0,0,72.0,0,93.0,0,49.0,0,0.0,0,84.0,0,44.0,0,10088.0,0,72.0,0,2.0,0,0,Friday,0
2023-01-14,278,2023-01-14,82.0,1,60.0,0,93.0,1,1.0,0,0.0,0,16.0,0,19.0,0,10006.0,0,84.0,0,8.0,0,1,Saturday,0
2023-01-15,272,2023-01-15,53.0,1,38.0,0,60.0,1,25.0,0,0.0,0,108.0,0,33.0,0,9984.0,0,77.0,0,4.0,0,1,Sunday,0
2023-01-16,335,2023-01-16,8.0,1,27.0,1,40.0,1,11.0,0,0.0,0,0.0,0,28.0,0,9864.0,0,83.0,0,6.0,0,0,Monday,0
2023-01-17,337,2023-01-17,52.0,0,-50.0,0,-21.0,0,7.0,0,0.0,0,0.0,0,35.0,0,9899.0,0,86.0,0,4.0,0,0,Tuesday,0
2023-01-18,355,2023-01-18,56.0,0,-38.0,0,7.0,0,60.0,0,0.0,0,0.0,0,60.0,0,9983.0,0,84.0,0,2.0,0,0,Wednesday,0
2023-01-19,372,2023-01-19,63.0,0,-27.0,0,14.0,0,60.0,0,0.0,0,0.0,0,62.0,0,10082.0,0,83.0,0,3.0,0,0,Thursday,0
2023-01-20,337,2023-01-20,62.0,0,-13.0,0,25.0,0,53.0,0,0.0,0,2.0,0,52.0,0,10192.0,0,79.0,0,2.0,0,0,Friday,0
2023-01-21,357,2023-01-21,37.0,0,-14.0,0,24.0,0,64.0,0,0.0,0,0.0,0,58.0,0,10325.0,0,84.0,0,1.0,0,1,Saturday,0
2023-01-22,380,2023-01-22,52.0,0,-47.0,0,-5.0,0,36.0,0,0.0,0,0.0,0,50.0,0,10359.0,0,94.0,0,1.0,0,1,Sunday,0
2023-01-23,403,2023-01-23,50.0,0,-84.0,0,-16.0,0,63.0,0,0.0,0,2.0,0,64.0,0,10379.0,0,85.0,0,4.0,0,0,Monday,0
2023-01-24,347,2023-01-24,61.0,0,-51.0,0,-1.0,0,29.0,0,0.0,0,0.0,0,45.0,0,10391.0,0,81.0,0,5.0,0,0,Tuesday,0
2023-01-25,319,2023-01-25,80.0,0,-33.0,0,14.0,0,0.0,0,0.0,0,28.0,0,18.0,0,10333.0,0,97.0,0,7.0,0,0,Wednesday,0
2023-01-26,322,2023-01-26,73.0,0,-6.0,0,37.0,0,8.0,0,0.0,0,0.0,0,34.0,0,10305.0,0,83.0,0,6.0,0,0,Thursday,0
2023-01-27,325,2023-01-27,62.0,0,39.0,0,56.0,0,2.0,0,0.0,0,0.0,0,37.0,0,10309.0,0,79.0,0,6.0,0,0,Friday,0
2023-01-28,310,2023-01-28,89.0,0,17.0,0,40.0,0,0.0,0,0.0,0,0.0,0,30.0,0,10321.0,0,76.0,0,8.0,0,1,Saturday,0
2023-01-29,300,2023-01-29,99.0,0,35.0,0,62.0,0,0.0,0,0.0,0,0.0,0,25.0,0,10267.0,0,88.0,0,6.0,0,1,Sunday,0
2023-01-30,322,2023-01-30,125.0,0,50.0,0,75.0,0,56.0,0,0.0,0,0.0,0,65.0,0,10251.0,0,74.0,0,3.0,0,0,Monday,0
2023-01-31,322,2023-01-31,104.0,0,33.0,0,79.0,0,18.0,0,0.0,0,0.0,0,40.0,0,10251.0,0,75.0,0,6.0,0,0,Tuesday,0
2023-02-01,340,2023-02-01,114.0,0,43.0,0,73.0,0,25.0,0,0.0,0,0.0,0,50.0,0,10251.0,0,75.0,0,5.0,0,0,Wednesday,0
2023-02-02,330,2023-02-02,136.0,0,60.0,0,87.0,0,4.0,0,0.0,0,0.0,0,37.0,0,10273.0,0,80.0,0,7.0,0,0,Thursday,0
2023-02-03,330,2023-02-03,94.0,1,77.0,0,107.0,1,40.0,0,0.0,0,0.0,0,61.0,0,10315.0,0,81.0,0,6.0,0,0,Friday,0
2023-02-04,359,2023-02-04,89.0,0,81.0,0,88.0,0,1.0,0,0.0,0,0.0,0,23.0,0,10382.0,0,82.0,0,8.0,0,1,Saturday,0
2023-02-05,327,2023-02-05,116.0,0,33.0,0,61.0,0,61.0,0,0.0,0,0.0,0,71.0,0,10447.0,0,74.0,0,2.0,0,1,Sunday,0
2023-02-06,328,2023-02-06,88.0,0,8.0,0,62.0,0,81.0,0,0.0,0,0.0,0,87.0,0,10421.0,0,74.0,0,3.0,0,0,Monday,0
2023-02-07,331,2023-02-07,83.0,0,-17.0,0,35.0,0,51.0,0,0.0,0,0.0,0,77.0,0,10390.0,0,83.0,0,2.0,0,0,Tuesday,0
2023-02-08,308,2023-02-08,109.0,0,-39.0,0,22.0,0,80.0,0,0.0,0,0.0,0,95.0,0,10348.0,0,83.0,0,1.0,0,0,Wednesday,0
2023-02-09,343,2023-02-09,91.0,0,-20.0,0,45.0,0,45.0,0,0.0,0,0.0,0,72.0,0,10329.0,0,80.0,0,4.0,0,0,Thursday,0
2023-02-10,297,2023-02-10,103.0,0,-19.0,0,36.0,0,46.0,0,0.0,0,0.0,0,77.0,0,10367.0,0,82.0,0,4.0,0,0,Friday,0
2023-02-11,329,2023-02-11,87.0,0,12.0,0,58.0,0,0.0,0,0.0,0,0.0,0,25.0,0,10368.0,0,79.0,0,8.0,0,1,Saturday,0
2023-02-12,326,2023-02-12,126.0,0,71.0,0,79.0,0,0.0,0,0.0,0,0.0,0,20.0,0,10374.0,0,79.0,0,8.0,0,1,Sunday,0
2023-02-13,326,2023-02-13,122.0,0,31.0,0,78.0,0,83.0,0,0.0,0,0.0,0,99.0,0,10341.0,0,77.0,0,3.0,0,0,Monday,0
2023-02-14,318,2023-02-14,156.0,0,-2.0,0,60.0,0,49.0,0,0.0,0,2.0,0,81.0,0,10308.0,0,86.0,0,3.0,0,0,Tuesday,0
2023-02-15,328,2023-02-15,134.0,0,12.0,0,84.0,0,74.0,0,0.0,0,4.0,0,94.0,0,10235.0,0,79.0,0,5.0,0,0,Wednesday,0
2023-02-16,307,2023-02-16,152.0,0,60.0,0,97.0,0,0.0,0,0.0,0,0.0,0,38.0,0,10202.0,0,88.0,0,7.0,0,0,Thursday,0
2023-02-17,355,2023-02-17,128.0,0,93.0,0,122.0,0,5.0,0,0.0,0,0.0,0,49.0,0,10216.0,0,84.0,0,8.0,0,0,Friday,0
2023-02-18,304,2023-02-18,138.0,0,103.0,0,116.0,0,0.0,0,0.0,0,2.0,0,23.0,0,10215.0,0,81.0,0,8.0,0,1,Saturday,0
2023-02-19,285,2023-02-19,138.0,0,64.0,0,101.0,0,59.0,0,0.0,0,0.0,0,94.0,0,10264.0,0,74.0,0,3.0,0,1,Sunday,0
2023-02-20,314,2023-02-20,98.0,0,59.0,0,98.0,0,18.0,0,0.0,0,0.0,0,62.0,0,10242.0,0,83.0,0,7.0,0,0,Monday,0
2023-02-21,254,2023-02-21,97.0,0,75.0,0,87.0,0,0.0,0,0.0,0,30.0,0,28.0,0,10180.0,0,88.0,0,8.0,0,0,Tuesday,0
2023-02-22,278,2023-02-22,89.0,0,57.0,0,77.0,0,0.0,0,0.0,0,4.0,0,31.0,0,10120.0,0,88.0,0,8.0,0,0,Wednesday,0
2023-02-23,284,2023-02-23,107.0,0,58.0,0,73.0,0,3.0,0,0.0,0,0.0,0,46.0,0,10183.0,0,80.0,0,7.0,0,0,Thursday,0
2023-02-24,356,2023-02-24,82.0,0,-13.0,0,47.0,0,16.0,0,0.0,0,0.0,0,59.0,0,10142.0,0,78.0,0,6.0,0,0,Friday,0
2023-02-25,307,2023-02-25,82.0,0,33.0,0,58.0,0,14.0,0,0.0,0,0.0,0,66.0,0,10176.0,0,73.0,0,5.0,0,1,Saturday,0
2023-02-26,308,2023-02-26,87.0,0,12.0,0,47.0,0,36.0,0,0.0,0,0.0,0,87.0,0,10272.0,0,66.0,0,3.0,0,1,Sunday,0
2023-02-27,318,2023-02-27,80.0,0,1.0,0,44.0,0,19.0,0,0.0,0,0.0,0,70.0,0,10318.0,0,71.0,0,4.0,0,0,Monday,0
2023-02-28,323,2023-02-28,86.0,0,12.0,0,46.0,0,3.0,0,0.0,0,0.0,0,36.0,0,10327.0,0,80.0,0,5.0,0,0,Tuesday,0
2023-03-01,291,2023-03-01,96.0,0,40.0,0,63.0,0,14.0,0,0.0,0,0.0,0,56.0,0,10292.0,0,77.0,0,8.0,0,0,Wednesday,0
2023-03-02,310,2023-03-02,69.0,0,15.0,0,55.0,0,80.0,0,0.0,0,0.0,0,130.0,0,10261.0,0,70.0,0,3.0,0,0,Thursday,0
2023-03-03,337,2023-03-03,72.0,0,35.0,0,52.0,0,0.0,0,0.0,0,0.0,0,41.0,0,10291.0,0,69.0,0,8.0,0,0,Friday,0
2023-03-04,334,2023-03-04,54.0,1,46.0,0,59.0,1,0.0,0,0.0,0,0.0,0,44.0,0,10295.0,0,67.0,0,8.0,0,1,Saturday,0
2023-03-05,301,2023-03-05,101.0,0,32.0,0,43.0,0,0.0,0,0.0,0,0.0,0,41.0,0,10193.0,0,67.0,0,8.0,0,1,Sunday,0
2023-03-06,283,2023-03-06,57.0,0,3.0,0,52.0,0,1.0,0,0.0,0,56.0,0,63.0,0,10061.0,0,81.0,0,8.0,0,0,Monday,0
2023-03-07,282,2023-03-07,38.0,0,19.0,0,38.0,0,2.0,0,0.0,0,52.0,0,56.0,0,10003.0,0,86.0,0,7.0,0,0,Tuesday,0
2023-03-08,302,2023-03-08,116.0,0,5.0,0,21.0,0,0.0,0,0.0,0,102.0,0,27.0,0,9916.0,0,93.0,0,8.0,0,0,Wednesday,0
2023-03-09,358,2023-03-09,56.0,1,14.0,0,65.0,1,0.0,0,0.0,0,58.0,0,40.0,0,9910.0,0,95.0,0,8.0,0,0,Thursday,0
2023-03-10,348,2023-03-10,101.0,0,27.0,0,42.0,0,7.0,0,0.0,0,0.0,0,70.0,0,9971.0,0,81.0,0,7.0,0,0,Friday,0
2023-03-11,351,2023-03-11,142.0,0,-22.0,0,40.0,0,40.0,0,0.0,0,12.0,0,119.0,0,10095.0,0,77.0,0,7.0,0,1,Saturday,0
2023-03-12,303,2023-03-12,145.0,0,32.0,0,87.0,0,13.0,0,0.0,0,10.0,0,74.0,0,10057.0,0,87.0,0,6.0,0,1,Sunday,0
2023-03-13,357,2023-03-13,103.0,1,99.0,0,122.0,1,15.0,0,0.0,0,20.0,0,86.0,0,9905.0,0,78.0,0,8.0,0,0,Monday,0
2023-03-14,336,2023-03-14,102.0,0,41.0,0,72.0,0,52.0,0,0.0,0,2.0,0,135.0,0,10032.0,0,69.0,0,5.0,0,0,Tuesday,0
2023-03-15,274,2023-03-15,140.0,0,0.0,0,51.0,0,26.0,0,0.0,0,34.0,0,96.0,0,10157.0,0,85.0,0,4.0,0,0,Wednesday,0
2023-03-16,317,2023-03-16,152.0,0,41.0,0,91.0,0,15.0,0,0.0,0,4.0,0,93.0,0,10062.0,0,82.0,0,7.0,0,0,Thursday,0
2023-03-17,313,2023-03-17,154.0,0,100.0,0,126.0,0,25.0,0,0.0,0,22.0,0,73.0,0,10039.0,0,86.0,0,7.0,0,0,Friday,0
2023-03-18,291,2023-03-18,111.0,1,89.0,0,122.0,1,25.0,0,0.0,0,18.0,0,104.0,0,10062.0,0,87.0,0,7.0,0,1,Saturday,0
2023-03-19,289,2023-03-19,133.0,0,59.0,0,85.0,0,19.0,0,0.0,0,2.0,0,93.0,0,10159.0,0,74.0,0,7.0,0,1,Sunday,0
2023-03-20,337,2023-03-20,148.0,0,76.0,0,104.0,0,0.0,0,0.0,0,26.0,0,43.0,0,10166.0,0,87.0,0,8.0,0,0,Monday,0
2023-03-21,281,2023-03-21,158.0,0,88.0,0,118.0,0,18.0,0,0.0,0,12.0,0,85.0,0,10089.0,0,82.0,0,8.0,0,0,Tuesday,0
2023-03-22,304,2023-03-22,155.0,0,102.0,0,130.0,0,15.0,0,0.0,0,10.0,0,101.0,0,10009.0,0,80.0,0,7.0,0,0,Wednesday,0
2023-03-23,294,2023-03-23,146.0,0,88.0,0,122.0,0,29.0,0,0.0,0,32.0,0,113.0,0,9970.0,0,79.0,0,7.0,0,0,Thursday,0
2023-03-24,288,2023-03-24,149.0,0,75.0,0,111.0,0,38.0,0,0.0,0,110.0,0,121.0,0,9981.0,0,83.0,0,5.0,0,0,Friday,0
2023-03-25,308,2023-03-25,92.0,1,75.0,0,112.0,1,59.0,0,0.0,0,68.0,0,159.0,0,10036.0,0,71.0,0,6.0,0,1,Saturday,0
2023-03-26,259,2023-03-26,119.0,0,63.0,0,78.0,0,0.0,0,0.0,0,4.0,0,57.0,0,10078.0,0,81.0,0,8.0,0,1,Sunday,0
2023-03-27,319,2023-03-27,110.0,0,41.0,0,80.0,0,71.0,0,0.0,0,2.0,0,181.0,0,10252.0,0,58.0,0,6.0,0,0,Monday,0
2023-03-28,272,2023-03-28,140.0,0,43.0,0,77.0,0,0.0,0,0.0,0,20.0,0,46.0,0,10188.0,0,80.0,0,8.0,0,0,Tuesday,0
2023-03-29,326,2023-03-29,165.0,0,70.0,0,105.0,0,0.0,0,0.0,0,64.0,0,38.0,0,10087.0,0,91.0,0,8.0,0,0,Wednesday,0
2023-03-30,303,2023-03-30,153.0,0,103.0,0,134.0,0,35.0,0,0.0,0,72.0,0,144.0,0,10030.0,0,79.0,0,7.0,0,0,Thursday,0
2023-03-31,333,2023-03-31,119.0,1,99.0,0,126.0,1,3.0,0,0.0,0,112.0,0,64.0,0,9891.0,0,91.0,0,8.0,0,0,Friday,0
2023-04-01,290,2023-04-01,116.0,0,88.0,0,103.0,0,6.0,0,0.0,0,0.0,0,87.0,0,10069.0,0,82.0,0,8.0,0,1,Saturday,0
2023-04-02,295,2023-04-02,123.0,0,65.0,0,91.0,0,44.0,0,0.0,0,0.0,0,108.0,0,10259.0,0,70.0,0,5.0,0,1,Sunday,0
2023-04-03,320,2023-04-03,149.0,0,12.0,0,68.0,0,81.0,0,0.0,0,0.0,0,202.0,0,10301.0,0,68.0,0,2.0,0,0,Monday,0
2023-04-04,338,2023-04-04,143.0,0,3.0,0,76.0,0,118.0,0,0.0,0,0.0,0,241.0,0,10273.0,0,60.0,0,0.0,0,0,Tuesday,0
2023-04-05,355,2023-04-05,150.0,0,43.0,0,93.0,0,30.0,0,0.0,0,34.0,0,141.0,0,10208.0,0,73.0,0,7.0,0,0,Wednesday,0
2023-04-06,265,2023-04-06,159.0,0,87.0,0,118.0,0,19.0,0,0.0,0,24.0,0,104.0,0,10145.0,0,83.0,0,6.0,0,0,Thursday,0
2023-04-07,358,2023-04-07,159.0,0,41.0,0,100.0,0,106.0,0,0.0,0,0.0,0,236.0,0,10209.0,0,62.0,0,3.0,0,0,Friday,1
2023-04-08,321,2023-04-08,164.0,0,39.0,0,99.0,0,92.0,0,0.0,0,0.0,0,214.0,0,10255.0,0,70.0,0,2.0,0,1,Saturday,0
2023-04-09,332,2023-04-09,160.0,0,53.0,0,108.0,0,75.0,0,0.0,0,62.0,0,205.0,0,10214.0,0,71.0,0,6.0,0,1,Sunday,0
2023-04-10,250,2023-04-10,133.0,0,101.0,0,131.0,0,39.0,0,0.0,0,56.0,0,125.0,0,10101.0,0,76.0,0,7.0,0,0,Monday,1
2023-04-11,274,2023-04-11,122.0,0,59.0,0,96.0,0,40.0,0,0.0,0,82.0,0,123.0,0,10086.0,0,77.0,0,5.0,0,0,Tuesday,0
2023-04-12,302,2023-04-12,140.0,0,48.0,0,85.0,0,45.0,0,0.0,0,8.0,0,172.0,0,9936.0,0,76.0,0,7.0,0,0,Wednesday,0
2023-04-13,286,2023-04-13,106.0,0,58.0,0,99.0,0,96.0,0,0.0,0,12.0,0,220.0,0,10019.0,0,63.0,0,4.0,0,0,Thursday,0
2023-04-14,305,2023-04-14,160.0,0,36.0,0,71.0,0,4.0,0,0.0,0,62.0,0,112.0,0,10046.0,0,85.0,0,7.0,0,0,Friday,0
2023-04-15,301,2023-04-15,161.0,0,67.0,0,113.0,0,51.0,0,0.0,0,0.0,0,172.0,0,10183.0,0,75.0,0,7.0,0,1,Saturday,0
2023-04-16,290,2023-04-16,175.0,0,77.0,0,119.0,0,34.0,0,0.0,0,0.0,0,173.0,0,10262.0,0,69.0,0,7.0,0,1,Sunday,0
2023-04-17,307,2023-04-17,132.0,1,104.0,0,139.0,1,57.0,0,0.0,0,0.0,0,182.0,0,10277.0,0,72.0,0,5.0,0,0,Monday,0
2023-04-18,322,2023-04-18,167.0,0,75.0,0,103.0,0,37.0,0,0.0,0,0.0,0,118.0,0,10277.0,0,71.0,0,7.0,0,0,Tuesday,0
2023-04-19,281,2023-04-19,162.0,0,78.0,0,122.0,0,73.0,0,0.0,0,0.0,0,182.0,0,10250.0,0,67.0,0,3.0,0,0,Wednesday,0
2023-04-20,280,2023-04-20,114.0,0,43.0,0,102.0,0,95.0,0,0.0,0,16.0,0,246.0,0,10211.0,0,65.0,0,2.0,0,0,Thursday,0
2023-04-21,296,2023-04-21,146.0,0,63.0,0,88.0,0,16.0,0,0.0,0,38.0,0,96.0,0,10124.0,0,82.0,0,6.0,0,0,Friday,0
2023-04-22,317,2023-04-22,153.0,0,30.0,0,88.0,0,41.0,0,0.0,0,6.0,0,146.0,0,10056.0,0,76.0,0,6.0,0,1,Saturday,0
2023-04-23,284,2023-04-23,128.0,0,84.0,0,118.0,0,16.0,0,0.0,0,60.0,0,119.0,0,10014.0,0,79.0,0,7.0,0,1,Sunday,0
2023-04-24,316,2023-04-24,124.0,0,58.0,0,93.0,0,37.0,0,0.0,0,118.0,0,150.0,0,10102.0,0,81.0,0,7.0,0,0,Monday,0
2023-04-25,309,2023-04-25,115.0,0,24.0,0,74.0,0,89.0,0,0.0,0,0.0,0,233.0,0,10184.0,0,60.0,0,4.0,0,0,Tuesday,0
2023-04-26,328,2023-04-26,151.0,0,48.0,0,82.0,0,0.0,0,0.0,0,0.0,0,85.0,0,10185.0,0,65.0,0,8.0,0,0,Wednesday,0
2023-04-27,325,2023-04-27,186.0,0,55.0,0,103.0,0,0.0,0,0.0,0,80.0,0,88.0,0,10148.0,0,78.0,0,6.0,0,0,Thursday,0
2023-04-28,330,2023-04-28,191.0,0,95.0,0,141.0,0,16.0,0,0.0,0,0.0,0,141.0,0,10117.0,0,81.0,0,7.0,0,0,Friday,0
2023-04-29,375,2023-04-29,178.0,0,62.0,0,127.0,0,93.0,0,0.0,0,0.0,0,240.0,0,10206.0,0,73.0,0,2.0,0,1,Saturday,0
2023-04-30,319,2023-04-30,181.0,0,61.0,0,119.0,0,61.0,0,0.0,0,0.0,0,195.0,0,10210.0,0,71.0,0,4.0,0,1,Sunday,0
2023-05-01,277,2023-05-01,151.0,0,105.0,0,143.0,0,38.0,0,0.0,0,34.0,0,163.0,0,10184.0,0,72.0,0,6.0,0,0,Monday,1
